iter	Passed	Remaining
0	144	144152
1	172	85839
2	199	66216
3	225	56249
4	252	50327
5	281	46596
6	309	43869
7	336	41762
8	366	40356
9	394	39097
10	424	38183
11	451	37203
12	479	36385
13	506	35687
14	536	35230
15	564	34716
16	591	34217
17	620	33841
18	649	33511
19	676	33146
20	703	32788
21	734	32634
22	759	32279
23	788	32045
24	814	31769
25	840	31486
26	866	31212
27	892	30986
28	920	30808
29	947	30633
30	976	30519
31	1003	30358
32	1033	30270
33	1059	30092
34	1084	29912
35	1110	29737
36	1136	29569
37	1163	29443
